,Song,Artist,lyrics
51,Feet Don't Fail Me Now,Joy Crookes,"I've been posing with red skies
Retweeting picket signs
Put my name on petitions, but I won't change my mind
I'm keeping up appearances
The dark side of my privilege
Damn, thank God I've got my vice
The dopamine tuition will keep me wrong from right
But I don't like when my better side takes hold of me
I didn't want you to know

Man, I guess I was scared
Feet, don't fail me now
I got to stand my ground
And though I'm down for trying
I am better in denial
So I hush, don't make a sound
Feet, don't fail me now
I got to stand my ground
And though I'm down for trying
I am better in denial

I, I cry like crocodile
Then drink opinions out
I've always got an answer, thе sun shines out my mouth
There ain't a rulе I'd wanna break (There ain't a rule I'd wanna break)
I'd rather kill than show my face

Man, I guess I was scared
Feet, don't fail me now
I got to stand my ground
And though I'm down for trying
I am better in denial
So I hush, don't make a sound
Feet, don't fail me now (Feet, don't fail me now)
I got to stand my ground (Gotta stand my ground)
And though I was down for trying

I was scared
But no blame's worth buying
Am I better hiding?
Why? Oh, why?
Didn't I try?

I was scared
Feet, don't fail me now
I got to stand my ground (Gotta stand my ground)
And though I'm down for trying
I am better in denial
So I hush, don't make a sound
Feet, don't fail me now
I got to stand my ground, my ground
And though I'm down for trying

My feet, don't fail me now"
52,Kingdom,Joy Crookes,"Rolling up to vote, I toke my Benson
England's blowing smoke, it needs attention
Could use a lick of paint, a change of colour
Before they send us back across the water
Think I got a neighbour that's been feeling blue
But they won't stand down no matter what you say or do

How'd you learn to love if you're not taught to?
How do you dream of freedoms on a curfew?
Paying the price to live in our skin
It's wearing me thin

Who's got love for the taking?
Who's got heart for the aching?
No such thing as a Kingdom
When tomorrow's done for the children
They chop it up and divide
So meet me at the borderline
Where the burning bridges have been taking toll
We row, we row, we row the boat
We row, we row, we row the boat

Gambling the heartbreak of a nation
Breaking up the euros at the station
Visiting a bank for bread and butter
Don't want to see no doctor when we suffer
Think I got a neighbour that's been feeling blue
But maybe that's a symptom
Fucking with a kingdom that never fought for you

Who's got love for the taking?
Who's got heart for the aching?
No such thing as a Kingdom
When tomorrow's done for the children
They chop it up and divide
So meet me at the borderline
Where the burning bridges have been taking toll
We row, we row, we row the boat
We row, we row, we row the boat
We row, we row, we row the boat

Who's got love for the taking?
Who's got heart for the aching?
No such thing as a Kingdom
When tomorrow's done for the children
They chop it up and divide
So meet me at the borderline
Where the burning bridges have been taking toll
We row, we row, we row the boat
We row, we row, we row the boat
We row, we row, we row the boat
We row, we row, we row"
53,Nasty,Tinashe,"'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that, just like that

I've been a nasty girl, nasty
I've been a nasty girl, nasty
I've been a nasty girl, nasty
I've been a nasty, nasty, nasty

Is somebody gonna match my freak?
Is somebody gonna match my freak?
Is somebody gonna match my nasty?
I got stamina, they say I'm an athlete
Is somebody gonna match my freak? (Match my freak)
Need somebody with a good technique (Good technique)
Is somebody gonna match my nasty?
Pillow talking got my throat raspy

If you keep up with me, I'll keep on comin' back
If you do it too good, I'm gonna get attached
'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that, just like that

I'vе been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty
I'vе been a nasty, nasty, nasty (I like it just like that)
I've been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty
I've been a nasty, nasty, nasty

Big time, pull up, make a scene
Party's lame, no vibe, we can leave
Shotgun, my thighs on the seat
I ain't got nothin' underneath (Ooh)
Looks like you're 'bout to spend the night (Match my, match my freak)
Looks like I'm 'bout to change your life (Match my, match my freak)
Wife type, he's staying for a week
So I might just let him pay the lease

If you keep up with me, I'll keep on comin' back (Oh-woah-woah)
If you do it too good, I'm gonna get attached (Oh-woah-woah)
'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that (Like it), just like that

I've been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty
I've been a nasty, nasty, nasty (I like it just like that)
I've been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty (Oh)
I've been a nasty, nasty, nasty

If you keep up with me, I'll keep on comin' back
If you do it too good, I'm gonna get attached
'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that (Like it just like that), just like that

(Oh, ah, oh, ah) Nasty, nasty, nasty
(Oh, ah, oh, ah) Nasty, nasty, nasty
(Oh, ah, oh, ah) Nasty, nasty, nasty
(Oh, ah, oh, ah) Nasty, nasty, nasty"
54,Boss Bitch,Doja Cat,"Mmm
I ain't tryna (Ah)
I ain't tryna
I ain't tryna

Yeah, ain't tryna be cool like you
Wobblin' around in your high heel shoes
I'm clumsy, made friends with the floor
Two for one, you know a bitch buy four
And two left feet, you know I always drop
First thing a girl did was a bop
I'm the whole damn cake and the cherry on top
Shook up the bottle, made a good girl pop

You ain't even here to party
Ken in the club, tryna pipe a Barbie
I don't wanna go, go, go with the flow
Backbend 'til I touch my toes
I don't wanna row, row, row the boat
Wrist full of rocks and I hope I float
Big up yourself 'cause you know they don't
I chew, chew, chew 'cause they hope I choke

I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss

Said bitch, I'm the after, you been the before
I been the stallion, you been the seahorse
Don't need a report, don't need a press run
All of my bad pics been all my best ones
I wear the hat and I wear the pants
I am advanced, so I get advance
And I do my dance and cancel the plans
Said boo, don't be mad 'cause you had the chance

Drop, said I took it and I ran for it
I won it, then I stand on it
Money on the floor when we dance on it
Shine bright, let them put a tan on it
Said I took it and I ran for it
I won it, then I stand on it
Money on the floor when we dance on it
Shine bright, let them put a tan on it like

I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss

Rrrr, ah, ah, ah
I'm a bitch (I'm a bitch), I'm a boss (I'm a boss)
I'm a bitch (I'm a bitch), I'm a boss (I'm a boss)
I'm a bitch (I'm a bitch), I'm a boss (I'm a boss)
I'm a bitch and a boss, I'ma shine like gloss

I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss
I'm a bitch, I'm a boss
I'm a bitch and a boss, I'ma shine like gloss"
55,Poison,Joy Crookes,"You're scared of snakes
I'm scared of you 'cause you've got poison
Like them, too
You shed on me
I pick it up
And all I do is clean up after you

The poison, you say you got it from your mother
The poison, there isn't anyone else to blame

Ba-da-da-da-da-dum
Ba-da-da-da-da-da-dum
Ba-da-da-da-da-dum

I caught you once
You tried to bite, you tried to scream
Maybe the poison is floating in my genes

The poison, you say you got it from some others
The poison, there isn't anyone else to blame

Ba-da-da-da-da-dum
Ba-da-da-da-da-da-dum
Ba-da-da-da-da-dum

You need to learn
To sweep up your tracks
'Cause if you don't
Well, it's gonna get you back
It's gonna get you back
It's gonna get you back

The poison, you didn't get it from your mother
The poison, there isn't anyone else to blame

Ba-da-da-da-da-dum
Ba-da-da-da-da-da-dum
Ba-da-da-da-da-dum
I don't want your poison

Ba-da-da-da-da-dum
Ba-da-da-da-da-da-dum
Ba-da-da-da-da-dum
Ba-da-da-da-da-da-dum
Ba-da-da-da-da-dum
I don't want your poison"
56,19th Floor,Joy Crookes,"Nineteenth floor

Headed back to where I started
Past the fireflies of Rizla burning bright
Lost the tower where my heart is
Cinema skylines that I don't recognise
Strip the life out of these streets
It's a daylight robbery
You'll never take the London out of me

I was raised by the river, nineteenth floor
We never got this high before
We were lost so long, look how far we've come
Down by the river, I remember where I belong
Ooh, I remember where I belong

Nothing same but nothing different
Hear the people cry concrete lullabies
I never thought I'd say I miss it
See it speaking when I walk
Don't test the waters

I was raised by the river, nineteenth floor
We never got this high before
We were lost so long, look how far we've come
Down by the river, I remember where I belong

Bopping down Walworth Road, bubblegum blow
Sliders and Sunday clothes
Doing like my Nani, 70s steez
Cardamom stain my teeth
I see the things you've seen
But you don't speak, you leave the traces
Like I picked up a parcel handed down through generations

Raised by the river, nineteenth floor
We never got this high before
We were lost so long, look how far we've come
Down by the river, I remember where I belong
Ooh, I remember where I belong
Ooh, I remember where I belong"
57,Yah / Element - Medley,Joy Crookes,"I got so many theories and suspicions
I'm diagnosed with real people conditions
Today is the day I follow my intuition
Keep the family close, get money, and fuck bitches
I double park the Aston in the red
My momma told me that I'ma work myself to death
My girl told me don't let these hoes get in your head
My world been ecstatic, I checked the signal that read

Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, mmm
If I gotta slap a pussy ass, I'ma make it look sexy
If I gotta go hard on a bitch, I'ma make it look sexy
Like pull up, hop out, air out, made it look sexy
They won't take me out my element
No, take me out my element

Interviews wanna know my thoughts and opinions
Fox News wanna use my name for percentage
My latest muse is my niece, she worth living
See me on the TV and scream: ""That's Uncle Kendrick!""
But it's money to get, bitches to hit (Yah)
Zeroes to flip, temptation is (Yah)
First on my list, I can't resist (Yah)
Everyone together now, know that we forever

Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, mmm
If I gotta slap a pussy ass, I'ma make it look sexy
If I gotta go hard on a bitch, I'ma make it look sexy
Like pull up, hop out, air out, made it look sexy
They won't take me out my element
No, take me out my element

I'm going to make it look
I'ma make it look sexy, mmm
And they won't take me out my element"
58,No Hands,Joy Crookes,"Hey b-

Meet me South East on the downbeat
With your khaki string vest intact
Though you're handsome, there's a red sun
And I can't help wonder what's next
Then you ask me, ""What do you want from all our weekends in whiskey sour?""
Told you I don't vouch for love, G
It takes too much of my power

Oh, can't stay too long
I might stain someone
Round and round I go
Got to set the tone
In the hands of none
That's where I belong

Spending nights in lonely castles
Where I learned to sing my cries
Sweetest sixteen, thrown to test me
I could not sit still if I tried

Learnin' to run before I could walk out
Learnin' to cuss before I could talk it out
Nah, nah, nah

Oh, can't stay too long
I might stain someone
Round and round I go
Got to set the tone
In the hands of none
That's where I belong

No hands (No, no hands)
Nobody cradles me like I can
No, like I can
No hands (No, no hands)
Nobody cradles me like I can
No, like I can

Oh, can't stay too long
I might stain someone
Round and round I go
Got to set the tone
In the hands of none
That's where I belong
That's where I belong"
59,Hallelujah,Pentatonix,"I've heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do ya?
Well, it goes like this, the fourth, the fifth
The minor fall, the major lift
The baffled king composin' Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah

Well, your faith was strong, but you needed proof
You saw her bathing on the roof
Her beauty in the moonlight overthrew ya
She tied you to the kitchen chair
She broke your throne and she cut your hair
And from your lips, she drew the Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah

Well, baby, I've been here before
I've seen this room and I've walked this floor
I used to live alone before I knew ya
And I've seen your flag on the marble arch
And love is not a victory march
It's a cold and it's a broken Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah

Maybe there's a God above
But all I've ever learned from love
Was how to shoot somebody who outdrew ya
And it's not a cry that you hear at night
It's not somebody who's seen the light
It's a cold and it's a broken Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah

Hallelujah, Hallelujah, yeah
Oh, Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah"
60,YYZ,Rush,none
61,The Load-Out - Remastered,Jackson Browne,none
44,VOY A LLeVARTE PA PR,Bad Bunny,"Acho, PR es otra cosa
Yo la conocí en Miami, en Brickell
Ella sabe que aquí hay ticket
Quiere que yo se la aplique
Que pa' casa la trafique

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar (Ey, ey)

Aprovecha, quе estoy soltero (Ay), single
Míramе mal si quiere' que te singue
Te vo'a llevar pa' PR to' el finde
Despué' de mí va' a borrar Tinder
Y estoy suelto, mami, estoy suelto
Mírame ahora, perreando un experto
Estoy suelto, mami, estoy suelto, ey, ey, ey
Hoy la calle está prendía', hookah, pastilla molía'
Yo no pierdo tiempo, yo las cambio como ROSALÍA
La que me mira a los ojo' por cinco segundo' ya yo sé que es mía
¿Dónde están las mala'? Que son bienvenía'
'Toy puesto pa'l lío, dime si tú lía'
Tus amiga' y to' el corillo 'tán bien rica'
Pero ese culo tuyo, wow, sobresalía
Salimo' de la disco y estaba de día
Obviamente salí con la que quería, ey
Que viva la putería
Dale pa'trá', pa'trá', tan-tan, chulería, ey
Dime si te va' a montar, pa' la isla tengo el portal
Bien borracho' los tre', baby, a las do' me las vo'a llevar
Oh, oh, me quiere besar, ja, yo que la puse mal
Tírate fotitos ahora porque ahorita te vo'a despeinar
Yeah-eh-eh-eh-eh

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar, yeah

Yeah, sí, sí
Esto es PR, mami
Aquí nací yo y el reggaetón, pa' que sepa'
Ey, ey, ey
Voy cazando y muero perreando
Voy cazando y muero perreando
Voy cazando y muero perreando
Que bailen toa' las gata', nos fuimo' algarete
'Tás escuchando al que más le mete
Dale, mami, suéltate el grillete
Ponte en cuatro, que te vo'a dar fuete
Ponte en cuatro, que te vo'a dar fue—"
45,What It Is (Block Boy) (with Kodak Black),Doechii,none
46,Jealousy,RUBII,"Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on–

S-s-said I scared off, 1, 2, 3, 4, 5 now
Said I don't like it when I'm on my shit, 'cause I'm just so much better than you
Pull up the fine print, love and all vibin'
'Til they see girl like better somehow
Doin' up my thing, good for the writin'
Who's gonna run when they hear my sound, now?
Who's gonna run when they hear my–
Who's gonna run when they hear my–
Don't want no guy to run off and cry, 'cause I played him some of my worst
Sounds like a lie, happened in real time
Hope he don't feel no worse or no hurt

Said I'm on my, I do like this
No, I didn't come to play
You could be on yours, but you keep on getting in my way
They say, ""Way way too good to me"", so that thеy never stay
I've been told diffеrences, but think that it's jealousy

I think that's jealousy, now
I think that is jealousy
I think that's jealousy, now
I think that is jealousy

T-tellin' me not your style
All ideas lame, wack, it's twisted
Sit a little, ah-ah, wait for a while
And it's like whole mindset is shifted
See you really runnin' up my style
Wrap it up nice, pass it on, it's gifted
I-I think it's vile
I think–, I think it's vile, now
'Cause they keep telling me, ""Enemies love you like friend to me""
Hate me, but they love my flow
All of the talkin', like why you so for it?
Your back to corner with nowhere to go
Some of my mistakes that I made on ways
If I share my yays, will you take my worst?
Love to the strays from back in the day
They come and they play in the game I wrote

Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my

S-s-said I'm on my, I do like this
No, I didn't come to play
You could be on yours, but you keep on getting in my way
They say, ""Way way too good to me"", so that they never stay
I've been told differences, but think that it's jealousy

I think that's jealousy, now
I think that is jealousy
I think that's jealousy, now
I think that is jealousy"
47,Fuck Me Pumps,Amy Winehouse,"Woo

When you walk in the bar
And you're dressed like a star
Rockin' your ""eff me"" pumps
And a man notice you with your Gucci bag crew
Can't tell who he's looking to
'Cause you all look the same, everyone knows your name
And that's your whole claim to fame
Never miss a night, 'cause your dream in life
Is to be a footballer’s wife

You don't like players
That's what you say
But you really wouldn't mind a millionaire
You don't like ballers
They don't do nothing for ya
But you'd love a rich man six-foot-two or taller

You're more than a fan lookin' for a man
But you end up with one-night stands
He could be your whole life if you got past one night
But that part never goes right
In the morning, you're vexed
He's on to the next
And you didn't even get no text
Don't be too upset if they call you a sket
'Cause like the news, every day, you get pressed

You don't like players
That's what you say
But you really wouldn't mind a millionaire
All them big ballers
Don't do nothing for ya
But you'd love a rich man six-foot-two or taller

You can't sit down right, 'cause your jeans are too tight
And you lucky it's ladies' night
With your big empty purse
Every week it gets worse
At least your breast cost more than hers
So you did Miami, 'cause you got there for free
But, somehow, you missed the plane
You did too much E
Met somebody and spent the night getting caned

Without girls like you, there'd be no fun
We'd go to the club and not see anyone
Without girls like you, there's no night life
All those men just go home to their wives
Don't be mad at me 'cause you're pushing thirty
And your old tricks no longer work
You should have known from the jump
That you always get dumped
So dust off your ""fuck me"" pumps"
48,Whatever You Like,T.I.,"Aye, Jim, you know the ol' sugar daddies?
They be trickin', they tell them girls
I said you could have whatever you like (If you like)
I said you could have whatever you like (If you like)
Yeah (Yeah)

Stacks on deck, Patron on ice
And we can pop bottles all night
And, baby, you could have whatever you like (If you like)
I said you could have whatever you like, yeah
Late night sex, so wet and so tight
I gas up the jet for you tonight
And, baby, you could go wherever you like (If you like)
I said you could go wherever you like, yeah (Yeah)

Anytime you want to pick up the telephone, you
Know it ain't nothin' to drop a couple stacks on you
Want it, you could get it, my dear
Five million dollar home, drop Bentleys, I swear, yeah

I want yo' body, need yo' body
Long as you got me you won't need nobody
You want it, I got it, go get it, I'll buy it
Tell them other broke nigga be quiet

Stacks on deck, Patron on ice
And we can pop bottles all night
And, baby, you could have whatever you like (If you like)
I said you could have whatever you like, yeah
Late night sex, so wet and so tight
I gas up the jet for you tonight
And, baby, you could go wherever you like (If you like)
I said you could go wherever you like, yeah (Yeah)

Shawty, you the hottest, love the way you drop it
Brain so good I swore you went to college
Hundred karat deposit, to vacations in the tropics
‘Cause e'rybody know it ain't trickin' if you got it
You need never ever gotta go to yo' wallet
Long as I got rubberband banks in my pocket
Five, six rides with rims and a body kit
You ain't gotta downgrade, you can get what I get
My chick could have what she want
And go in any store for any bag she want
And, no, she ain't never had a man like that
To buy you anything your heart desire like that, yeah

I want yo' body, need yo' body
Long as you got me you won't need nobody
You want it, I got it, go get it, I'll buy it
Tell them other broke nigga be quiet

Stacks on deck, Patron on ice
And we can pop bottles all night
And, baby, you could have whatever you like (If you like)
I said you could have whatever you like, yeah
Late night sex, so wet and so tight
I gas up the jet for you tonight
And, baby, you could go wherever you like (If you like)
I said you could go wherever you like, yeah (Yeah)

I'm talkin' big boy rides, and big boy ice
Let me put this big boy in yo' life
You just be so fresh, and look so nice
Let me put this big boy in yo' life; that's right

I want yo' body, need yo' body
Long as you got me you won't need nobody
You want it, I got it, go get it, I'll buy it
Tell them other broke nigga be quiet

Stacks on deck, Patron on ice
And we can pop bottles all night
And, baby, you could have whatever you like (If you like)
I said you could have whatever you like, yeah
Late night sex, so wet and so tight
I gas up the jet for you tonight
And, baby, you could go wherever you like (If you like)
I said you could go wherever you like, yeah (Yeah)"
49,Power,Joy Crookes,"I don't need your permission
I don't want that disease
Lurking through every finger
That you pointed at me
Don't you like it so sexy?
Wearing it like it's free?
Dropping half-priced opinions
But calling me ""coupon queen,"" hm

You got bitches, you got hoes
We the people, and we know
All we want is to be accepted
But you see? No, you don't
You got ideas, all the same
I'm your scapegoat, feed me blame
In the back of your mind
You know you wasted time
And you're crossing lines with your
Crossing lines with your

Power
Come and spend it on me
Power
What it means to be free
Here's the truth, one condition
Can't kill my ambition
Not about if you like how I sing
Can't take my power
You got nothin' on me

You're a man on a mission
But you seem to forget
You came here through a woman
Show some fucking respect, hm

We your bitches, we your hoes
We the people, and we know
All we want is to be accepted
But you see? No, you don't
You got ideas, all the same
I'm your scapegoat, feed me blame
In the back of your mind
You know you wasted time
And you're crossing lines with your
Crossing lines with your

Power
Come and spend it on me
Power
What it means to be free
Here's the truth, one condition
Can't kill my ambition
Not about if you like how I sing
Can't take my power
You got nothin' on me
On me, on me, on me, on me
On me, on me, on me, on me
On me, on me, on me, on me

Close your eyes 'til you can't see me
Yellow polka dot burkini
That they stole off her body that day
If you really want to free me
Tell my mummy that she's pretty
Melanin is not your enemy

Power
Come and spend it on me
Power
What it means to be free
Here's the truth, one condition
Can't kill my ambition
Not about if you like how I sing
Can't take my power
You got nothin' on me
On me, on me, on me, on me
On me, on me, on me, on me
On me, on me, on me, on me"
50,Wild Jasmine,Joy Crookes,"I'm not trusting no nighttime
Falling into arms with the wrong eyes
My guard high, so very high
Jesus doesn't have hotline
Who am I supposed to call but the dark side?
Trouble finds where I can hide

Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't trust him
Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't love him

Ten tonne heart everybody wanna steal
They want my song, but my pain don't gеt a deal
You know I know just how you feel
You know I know just how you feel
You want the skin but refusе to take the baggage
You want the words but refuse to do the damage
You know you don't know how I feel
You know you don't know how—

Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't trust him
Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't love him


Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't trust him
Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't love him

Ten tonne heart everybody wanna steal
They want my song, but my pain don't get a deal
You know I know just how you feel
You know I know just how you feel
You want the skin but refuse to take the baggage
You want the words but refuse to do the damage
You know you don't know how I feel
You know you don't know how—

Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't trust him (Why you do me like that?)
Why you do me, why you do me, why you do me like
Why you do me, why you do me, why you do me like that?
Wild Jasmine, don't love him (Why you do me like that?)

(Why you do me, why you do me, why you do me like)
(Why you do me, why you do me, why you do me like that?)"
51,Feet Don't Fail Me Now,Joy Crookes,"I've been posing with red skies
Retweeting picket signs
Put my name on petitions, but I won't change my mind
I'm keeping up appearances
The dark side of my privilege
Damn, thank God I've got my vice
The dopamine tuition will keep me wrong from right
But I don't like when my better side takes hold of me
I didn't want you to know

Man, I guess I was scared
Feet, don't fail me now
I got to stand my ground
And though I'm down for trying
I am better in denial
So I hush, don't make a sound
Feet, don't fail me now
I got to stand my ground
And though I'm down for trying
I am better in denial

I, I cry like crocodile
Then drink opinions out
I've always got an answer, thе sun shines out my mouth
There ain't a rulе I'd wanna break (There ain't a rule I'd wanna break)
I'd rather kill than show my face

Man, I guess I was scared
Feet, don't fail me now
I got to stand my ground
And though I'm down for trying
I am better in denial
So I hush, don't make a sound
Feet, don't fail me now (Feet, don't fail me now)
I got to stand my ground (Gotta stand my ground)
And though I was down for trying

I was scared
But no blame's worth buying
Am I better hiding?
Why? Oh, why?
Didn't I try?

I was scared
Feet, don't fail me now
I got to stand my ground (Gotta stand my ground)
And though I'm down for trying
I am better in denial
So I hush, don't make a sound
Feet, don't fail me now
I got to stand my ground, my ground
And though I'm down for trying

My feet, don't fail me now"
52,Kingdom,Joy Crookes,"Rolling up to vote, I toke my Benson
England's blowing smoke, it needs attention
Could use a lick of paint, a change of colour
Before they send us back across the water
Think I got a neighbour that's been feeling blue
But they won't stand down no matter what you say or do

How'd you learn to love if you're not taught to?
How do you dream of freedoms on a curfew?
Paying the price to live in our skin
It's wearing me thin

Who's got love for the taking?
Who's got heart for the aching?
No such thing as a Kingdom
When tomorrow's done for the children
They chop it up and divide
So meet me at the borderline
Where the burning bridges have been taking toll
We row, we row, we row the boat
We row, we row, we row the boat

Gambling the heartbreak of a nation
Breaking up the euros at the station
Visiting a bank for bread and butter
Don't want to see no doctor when we suffer
Think I got a neighbour that's been feeling blue
But maybe that's a symptom
Fucking with a kingdom that never fought for you

Who's got love for the taking?
Who's got heart for the aching?
No such thing as a Kingdom
When tomorrow's done for the children
They chop it up and divide
So meet me at the borderline
Where the burning bridges have been taking toll
We row, we row, we row the boat
We row, we row, we row the boat
We row, we row, we row the boat

Who's got love for the taking?
Who's got heart for the aching?
No such thing as a Kingdom
When tomorrow's done for the children
They chop it up and divide
So meet me at the borderline
Where the burning bridges have been taking toll
We row, we row, we row the boat
We row, we row, we row the boat
We row, we row, we row the boat
We row, we row, we row"
53,Nasty,Tinashe,"'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that, just like that

I've been a nasty girl, nasty
I've been a nasty girl, nasty
I've been a nasty girl, nasty
I've been a nasty, nasty, nasty

Is somebody gonna match my freak?
Is somebody gonna match my freak?
Is somebody gonna match my nasty?
I got stamina, they say I'm an athlete
Is somebody gonna match my freak? (Match my freak)
Need somebody with a good technique (Good technique)
Is somebody gonna match my nasty?
Pillow talking got my throat raspy

If you keep up with me, I'll keep on comin' back
If you do it too good, I'm gonna get attached
'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that, just like that

I'vе been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty
I'vе been a nasty, nasty, nasty (I like it just like that)
I've been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty
I've been a nasty, nasty, nasty

Big time, pull up, make a scene
Party's lame, no vibe, we can leave
Shotgun, my thighs on the seat
I ain't got nothin' underneath (Ooh)
Looks like you're 'bout to spend the night (Match my, match my freak)
Looks like I'm 'bout to change your life (Match my, match my freak)
Wife type, he's staying for a week
So I might just let him pay the lease

If you keep up with me, I'll keep on comin' back (Oh-woah-woah)
If you do it too good, I'm gonna get attached (Oh-woah-woah)
'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that (Like it), just like that

I've been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty
I've been a nasty, nasty, nasty (I like it just like that)
I've been a nasty girl, nasty
I've been a nasty girl, nasty (Just like that)
I've been a nasty girl, nasty (Oh)
I've been a nasty, nasty, nasty

If you keep up with me, I'll keep on comin' back
If you do it too good, I'm gonna get attached
'Cause it feels like Heaven when it hurts so bad
Baby, put it on me, I like it just like that (Like it just like that), just like that

(Oh, ah, oh, ah) Nasty, nasty, nasty
(Oh, ah, oh, ah) Nasty, nasty, nasty
(Oh, ah, oh, ah) Nasty, nasty, nasty
(Oh, ah, oh, ah) Nasty, nasty, nasty"
